YEAR,MO,DY,HR,PRECTOTCORR,Time2
2013,8,1,0,0,125588
2013,8,1,1,0,125592
2013,8,1,2,0,125596
2013,8,1,3,0,125600
2013,8,1,4,0,125604
2013,8,1,5,0,125608
2013,8,1,6,0,125612
2013,8,1,7,0.34,125616
2013,8,1,8,0.61,125620
2013,8,1,9,0.67,125624
2013,8,1,10,0.9,125628
2013,8,1,11,1.3,125632
2013,8,1,12,1.39,125636
2013,8,1,13,0.97,125640
2013,8,1,14,0.53,125644
2013,8,1,15,0.4,125648
2013,8,1,16,0.4,125652
2013,8,1,17,0.41,125656
2013,8,1,18,0.62,125660
2013,8,1,19,0.99,125664
2013,8,1,20,1.02,125668
2013,8,1,21,0.73,125672
2013,8,1,22,0.51,125676
2013,8,1,23,0.43,125680
2013,8,2,0,0.42,125684
2013,8,2,1,0.33,125688
2013,8,2,2,0.19,125692
2013,8,2,3,0.13,125696
2013,8,2,4,0.07,125700
2013,8,2,5,0.03,125704
2013,8,2,6,0.02,125708
2013,8,2,7,0,125712
2013,8,2,8,0,125716
2013,8,2,9,0,125720
2013,8,2,10,0.01,125724
2013,8,2,11,0.01,125728
2013,8,2,12,0.01,125732
2013,8,2,13,0.01,125736
2013,8,2,14,0.02,125740
2013,8,2,15,0.02,125744
2013,8,2,16,0.01,125748
2013,8,2,17,0.01,125752
2013,8,2,18,0,125756
2013,8,2,19,0,125760
2013,8,2,20,0,125764
2013,8,2,21,0,125768
2013,8,2,22,0,125772
2013,8,2,23,0,125776
2013,8,3,0,0,125780
2013,8,3,1,0,125784
2013,8,3,2,0.01,125788
2013,8,3,3,0.1,125792
2013,8,3,4,0.24,125796
2013,8,3,5,0.21,125800
2013,8,3,6,0.15,125804
2013,8,3,7,0.36,125808
2013,8,3,8,0.3,125812
2013,8,3,9,0.24,125816
2013,8,3,10,0.18,125820
2013,8,3,11,0.25,125824
2013,8,3,12,0.23,125828
2013,8,3,13,0.19,125832
2013,8,3,14,0.16,125836
2013,8,3,15,0.1,125840
2013,8,3,16,0.04,125844
2013,8,3,17,0.02,125848
2013,8,3,18,0.01,125852
2013,8,3,19,0,125856
2013,8,3,20,0,125860
2013,8,3,21,0,125864
2013,8,3,22,0,125868
2013,8,3,23,0,125872
2013,8,4,0,0,125876
2013,8,4,1,0,125880
2013,8,4,2,0,125884
2013,8,4,3,0,125888
2013,8,4,4,0,125892
2013,8,4,5,0,125896
2013,8,4,6,0,125900
2013,8,4,7,0,125904
2013,8,4,8,0,125908
2013,8,4,9,0,125912
2013,8,4,10,0.02,125916
2013,8,4,11,0.03,125920
2013,8,4,12,0.04,125924
2013,8,4,13,0.06,125928
2013,8,4,14,0.07,125932
2013,8,4,15,0.06,125936
2013,8,4,16,0.02,125940
2013,8,4,17,0,125944
2013,8,4,18,0,125948
2013,8,4,19,0,125952
2013,8,4,20,0,125956
2013,8,4,21,0,125960
2013,8,4,22,0,125964
2013,8,4,23,0,125968
2013,8,5,0,0,125972
2013,8,5,1,0,125976
2013,8,5,2,0,125980
2013,8,5,3,0,125984
2013,8,5,4,0,125988
2013,8,5,5,0,125992
2013,8,5,6,0,125996
2013,8,5,7,0,126000
2013,8,5,8,0,126004
2013,8,5,9,0,126008
2013,8,5,10,0,126012
2013,8,5,11,0,126016
2013,8,5,12,0,126020
2013,8,5,13,0,126024
2013,8,5,14,0,126028
2013,8,5,15,0,126032
2013,8,5,16,0,126036
2013,8,5,17,0,126040
2013,8,5,18,0,126044
2013,8,5,19,0,126048
2013,8,5,20,0,126052
2013,8,5,21,0,126056
2013,8,5,22,0,126060
2013,8,5,23,0,126064
2013,8,6,0,0,126068
2013,8,6,1,0,126072
2013,8,6,2,0,126076
2013,8,6,3,0,126080
2013,8,6,4,0,126084
2013,8,6,5,0,126088
2013,8,6,6,0,126092
2013,8,6,7,0,126096
2013,8,6,8,0,126100
2013,8,6,9,0,126104
2013,8,6,10,0,126108
2013,8,6,11,0,126112
2013,8,6,12,0.01,126116
2013,8,6,13,0.01,126120
2013,8,6,14,0.01,126124
2013,8,6,15,0.01,126128
2013,8,6,16,0,126132
2013,8,6,17,0,126136
2013,8,6,18,0,126140
2013,8,6,19,0,126144
2013,8,6,20,0,126148
2013,8,6,21,0,126152
2013,8,6,22,0,126156
2013,8,6,23,0,126160
2013,8,7,0,0,126164
2013,8,7,1,0,126168
2013,8,7,2,0,126172
2013,8,7,3,0,126176
2013,8,7,4,0,126180
2013,8,7,5,0,126184
2013,8,7,6,0.01,126188
2013,8,7,7,0.03,126192
2013,8,7,8,0.06,126196
2013,8,7,9,0.16,126200
2013,8,7,10,0.29,126204
2013,8,7,11,0.25,126208
2013,8,7,12,0.2,126212
2013,8,7,13,0.17,126216
2013,8,7,14,0.15,126220
2013,8,7,15,0.12,126224
2013,8,7,16,0.14,126228
2013,8,7,17,0.16,126232
2013,8,7,18,0.14,126236
2013,8,7,19,0.13,126240
2013,8,7,20,0.16,126244
2013,8,7,21,0.21,126248
2013,8,7,22,0.24,126252
2013,8,7,23,0.21,126256
2013,8,8,0,0.16,126260
2013,8,8,1,0.17,126264
2013,8,8,2,0.18,126268
2013,8,8,3,0.11,126272
2013,8,8,4,0.16,126276
2013,8,8,5,0.38,126280
2013,8,8,6,0.17,126284
2013,8,8,7,0.05,126288
2013,8,8,8,0.12,126292
2013,8,8,9,0.6,126296
2013,8,8,10,1.38,126300
2013,8,8,11,2.02,126304
2013,8,8,12,1.53,126308
2013,8,8,13,1.47,126312
2013,8,8,14,1.64,126316
2013,8,8,15,1.39,126320
2013,8,8,16,1.28,126324
2013,8,8,17,1.02,126328
2013,8,8,18,0.68,126332
